,activity,date,duration,repetition,weight
0,Push Up,2022-04-05,"['', '', '']",1.0,
1,Push Up,2022-04-01,"['', '', '']",10.0,
2,Push Up,2022-04-12,"['', '', '']",34.0,
3,Walking,2022-04-12,"['2', '', '']",,
4,Running,2022-04-12,"['', '30', '']",,
5,Push Up,2022-04-10,"['', '', '']",2.0,
6,Push Up,2022-04-05,"['', '', '']",4.0,
7,Push Up,2022-04-08,"['', '', '']",3.0,
8,Push Up,2022-04-07,"['', '', '']",7.0,
9,Push Up,2022-04-09,"['', '', '']",9.0,
10,Push Up,2022-04-01,"['', '', '']",6.0,
11,Push Up,2022-04-28,"['', '', '']",23.0,
12,Swimming,2022-05-02,"['2', '', '']",2.0,
13,Push Up,2022-05-02,"['', '', '']",2.0,
14,Swimming,2022-05-02,"['', '', '']",2.0,
15,Mudflat hiking,2022-05-02,"['2', '', '']",,
16,Glute Bridge,2022-05-19,"['', '', '']",3,
